cell_id,cy,cx,bldg_n,glass_frac,road_segs,shore_dist,mort_n,risk_p,risk,baseline_risk,intervention_risk,expected_reduction,best_intervention,intervention_rankings
53,41.8975,-87.67550000000001,300.0,0.24584717607973422,9.0,0.15250000000001762,0.0,0.008164445501756056,Low,0.008164445501756056,0.007965889545077355,2.431958871377052,Reduced night lighting,Reduced night lighting (2.4%); Wildlife crossing corridor (-120.1%); Vegetation buffer (-122.5%); Anti-collision window film (-155.8%)
54,41.900499999999994,-87.67550000000001,313.0,0.0732484076433121,15.0,0.15250000000001762,0.0,0.021910411030354866,Low,0.021910411030354866,0.02068364432913762,5.599012722845189,Wildlife crossing corridor,Wildlife crossing corridor (5.6%); Anti-collision window film (-22.8%); Reduced night lighting (-22.8%); Vegetation buffer (-22.8%)
55,41.90350000000001,-87.67550000000001,243.0,0.20491803278688525,13.0,0.15250000000001762,0.0,0.0020818415857393594,Low,0.0020818415857393594,0.010622347601002788,-410.2380351015179,Wildlife crossing corridor,Wildlife crossing corridor (-410.2%); Reduced night lighting (-900.1%); Anti-collision window film (-1673.0%); Vegetation buffer (-3294.5%)
56,41.9065,-87.67550000000001,230.0,0.18181818181818182,16.0,0.15250000000001762,0.0,0.020273138049927936,Low,0.020273138049927936,0.024012200021870066,-18.44342973807856,Wildlife crossing corridor,Wildlife crossing corridor (-18.4%); Anti-collision window film (-106.7%); Vegetation buffer (-131.4%); Reduced night lighting (-148.0%)
57,41.909499999999994,-87.67550000000001,196.0,0.6294416243654822,26.0,0.15250000000001762,0.0,0.008464434514116513,Low,0.008464434514116513,0.00947863386832698,-11.981891436681819,Wildlife crossing corridor,Wildlife crossing corridor (-12.0%); Vegetation buffer (-16.2%); Reduced night lighting (-49.7%); Anti-collision window film (-134.3%)
58,41.9125,-87.67550000000001,341.0,0.9678362573099415,14.0,0.15250000000001762,0.0,0.01169574321366381,Low,0.01169574321366381,0.004298950931076189,63.243456593217225,Reduced night lighting,Reduced night lighting (63.2%); Wildlife crossing corridor (0.0%); Anti-collision window film (-126.8%); Vegetation buffer (-205.5%)
59,41.9155,-87.67550000000001,291.0,0.9726027397260274,24.0,0.15250000000001762,0.0,0.00033589388806717837,Low,0.00033589388806717837,0.00033589388806717837,0.0,Reduced night lighting,Reduced night lighting (0.0%); Wildlife crossing corridor (-3382.0%); Anti-collision window film (-8996.8%); Vegetation buffer (-12817.5%)
60,41.918499999999995,-87.67550000000001,332.0,0.993993993993994,27.0,0.15250000000001762,0.0,0.00033589388806717837,Low,0.00033589388806717837,0.00033589388806717837,0.0,Reduced night lighting,Reduced night lighting (0.0%); Wildlife crossing corridor (-2129.9%); Anti-collision window film (-9694.5%); Vegetation buffer (-13515.2%)
61,41.92150000000001,-87.67550000000001,13.0,0.9285714285714286,2.0,0.15250000000001762,0.0,0.020190601988693588,Low,0.020190601988693588,0.010394449033975694,48.518379789783296,Anti-collision window film,Anti-collision window film (48.5%); Vegetation buffer (26.9%); Reduced night lighting (17.3%); Wildlife crossing corridor (0.0%)
62,41.8315,-87.6725,278.0,0.9498207885304659,18.0,0.1495000000000033,0.0,0.021197986498196646,Low,0.021197986498196646,0.024527203251398646,-15.705344248073859,Wildlife crossing corridor,Wildlife crossing corridor (-15.7%); Vegetation buffer (-53.5%); Anti-collision window film (-61.0%); Reduced night lighting (-118.9%)
